task_id,split,in_frame,declined_reason,block_rows,block_columns,identity_layout,n_blocks,blocks_described,blocks_determined,blocks_ambiguous,blocks_unmatched,fixed_layout_determined,state_layout_determined
00576224,training,True,,3,3,False,18,18,15,3,0,True,False
007bbfb7,training,True,,3,3,False,45,45,35,10,0,False,True
009d5c81,training,True,,1,1,True,5,0,0,0,5,False,False
00d62c1b,training,True,,1,1,True,5,0,0,0,5,False,False
00dbd492,training,True,,1,1,True,4,0,0,0,4,False,False
017c7c7b,training,False,output_not_block_multiple,,,,,,,,,,
025d127b,training,True,,1,1,True,2,0,0,0,2,False,False
03560426,training,True,,1,1,True,3,0,0,0,3,False,False
045e512c,training,True,,1,1,True,3,0,0,0,3,False,False
0520fde7,training,False,output_not_block_multiple,,,,,,,,,,
05269061,training,True,,1,1,True,3,0,0,0,3,False,False
05a7bcf2,training,True,,1,1,True,3,0,0,0,3,False,False
05f2a901,training,True,,1,1,True,3,0,0,0,3,False,False
0607ce86,training,True,,1,1,True,3,0,0,0,3,False,False
0692e18c,training,True,,3,3,False,27,15,15,0,12,False,False
06df4c85,training,True,,1,1,True,3,0,0,0,3,False,False
070dd51e,training,True,,1,1,True,2,0,0,0,2,False,False
08ed6ac7,training,True,,1,1,True,2,0,0,0,2,False,False
09629e4f,training,True,,1,1,True,4,0,0,0,4,False,False
0962bcdd,training,True,,1,1,True,2,0,0,0,2,False,False
09c534e7,training,True,,1,1,True,3,0,0,0,3,False,False
0a1d4ef5,training,False,output_not_block_multiple,,,,,,,,,,
0a2355a6,training,True,,1,1,True,4,0,0,0,4,False,False
0a938d79,training,True,,1,1,True,4,0,0,0,4,False,False
0b148d64,training,False,output_not_block_multiple,,,,,,,,,,
0b17323b,training,True,,1,1,True,2,0,0,0,2,False,False
0bb8deee,training,False,output_not_block_multiple,,,,,,,,,,
0becf7df,training,True,,1,1,True,3,0,0,0,3,False,False
0c786b71,training,True,,2,2,False,12,12,12,0,0,True,False
0c9aba6e,training,False,output_not_block_multiple,,,,,,,,,,
0ca9ddb6,training,True,,1,1,True,3,0,0,0,3,False,False
0d3d703e,training,True,,1,1,True,4,0,0,0,4,False,False
