task_id,split,connectivity,regions_median,regions_max,mask_preserved,regions_uniform_out,mean_fraction_changed,change_components,aligned_components,aligned_fraction,colour_determines_output,size_determines_output,size_rank_determines_output,bbox_determines_output
009d5c81,training,4,3.0,10,False,True,0.14591836734693878,26,26,1.0,False,False,False,False
00d62c1b,training,4,9.0,14,False,True,0.0586111111111111,13,13,1.0,False,False,False,False
00dbd492,training,4,3.0,4,False,True,0.2244499009334174,6,6,1.0,False,False,False,False
025d127b,training,4,7.0,8,False,False,0.1468253968253968,6,1,0.16666666666666666,False,False,False,False
03560426,training,4,3.0,4,False,False,0.38000000000000006,10,8,0.8,False,False,False,False
045e512c,training,4,4.0,5,False,True,0.06953892668178381,22,22,1.0,False,False,False,False
05269061,training,4,1.0,5,False,False,0.7755102040816326,6,6,1.0,False,False,False,False
05a7bcf2,training,4,6.0,6,False,False,0.2740740740740741,22,0,0.0,False,False,False,False
05f2a901,training,4,2.0,2,False,True,0.15901875901875903,4,2,0.5,False,False,False,False
0607ce86,training,4,17.0,24,False,False,0.09282406219165112,109,109,1.0,False,False,False,False
06df4c85,training,4,1.0,1,False,False,0.062035286704473856,23,23,1.0,False,False,False,False
070dd51e,training,4,10.0,10,False,True,0.07333333333333333,5,5,1.0,False,False,False,False
08ed6ac7,training,4,4.0,4,True,True,0.2777777777777778,8,8,1.0,False,False,False,False
09629e4f,training,4,5.0,6,False,False,0.4690082644628099,67,51,0.7611940298507462,False,False,False,False
0962bcdd,training,4,2.0,2,False,False,0.16666666666666666,48,48,1.0,False,False,False,False
09c534e7,training,4,3.0,3,True,False,0.06865226337448559,35,35,1.0,False,False,False,False
0a2355a6,training,4,4.0,4,True,True,0.3302540713254999,15,15,1.0,False,True,True,True
0a938d79,training,4,2.0,2,False,True,0.30933844265637744,30,30,1.0,False,False,False,False
0b17323b,training,4,3.0,3,False,True,0.011111111111111112,5,5,1.0,False,False,False,False
0becf7df,training,4,2.0,2,True,False,0.19000000000000003,3,3,1.0,False,False,False,False
0ca9ddb6,training,4,3.0,5,False,True,0.1316872427983539,32,32,1.0,False,False,False,False
0d3d703e,training,4,1.0,1,True,False,1.0,4,4,1.0,False,False,False,False
0d87d2a6,training,4,10.0,10,False,True,0.20206043956043954,3,0,0.0,False,False,False,False
0e206a2e,training,4,4.0,8,False,True,0.08667328042328043,18,18,1.0,False,False,False,False
0e671a1a,training,4,3.0,3,False,True,0.128698224852071,6,6,1.0,False,False,False,False
0f63c0b9,training,4,3.0,4,False,True,0.4222222222222222,4,4,1.0,False,False,False,False
103eff5b,training,4,4.0,4,True,False,0.15996503496503497,4,4,1.0,False,False,False,False
11852cab,training,4,10.0,10,False,True,0.03,9,9,1.0,False,False,False,False
1190bc91,training,4,3.0,3,False,False,0.6683333333333333,4,4,1.0,False,False,False,False
11dc524f,training,4,1.0,1,True,False,0.055226824457593686,13,13,1.0,False,False,False,False
11e1fe23,training,4,3.0,3,False,True,0.031818181818181815,8,8,1.0,False,False,False,False
12422b43,training,4,2.0,2,False,False,0.17024786324786326,5,5,1.0,False,False,False,False
12eac192,training,4,5.5,7,True,False,0.254265873015873,22,22,1.0,False,False,False,False
13713586,training,4,4.0,4,False,True,0.365080738177624,5,5,1.0,False,False,False,False
137f0df0,training,4,9.0,9,False,True,0.41333333333333333,3,3,1.0,False,False,False,False
13f06aa5,training,4,1.0,1,False,False,0.15126447626447626,12,12,1.0,False,False,False,False
140c817e,training,4,1.0,1,True,False,0.5598199032542467,3,3,1.0,False,False,False,False
14754a24,training,4,25.0,31,True,False,0.0391577903091061,20,20,1.0,False,False,False,False
1478ab18,training,4,1.0,1,True,False,0.203125,9,9,1.0,False,False,False,False
14b8e18c,training,4,1.0,1,True,False,0.10666666666666667,28,28,1.0,False,False,False,False
150deff5,training,4,1.0,2,True,False,0.2230218855218855,4,4,1.0,False,False,False,False
15113be4,training,4,7.0,9,True,False,0.018903591682419663,24,24,1.0,False,False,False,False
15663ba9,training,4,2.0,3,True,False,0.11195798503490811,47,47,1.0,False,False,False,False
17829a00,training,4,1.0,1,True,False,0.1953125,38,38,1.0,False,False,False,False
178fcbfb,training,4,4.0,5,False,True,0.3303077066965956,13,13,1.0,False,False,False,False
17b80ad2,training,4,13.0,29,False,False,0.11599656685971756,26,26,1.0,False,False,False,False
17b866bd,training,4,1.0,1,False,False,0.11486235119047619,10,10,1.0,False,False,False,False
17cae0c1,training,4,3.5,5,False,False,1.0,4,0,0.0,False,False,False,False
18286ef8,training,4,9.0,9,True,False,0.02701388888888889,8,8,1.0,False,False,False,False
182e5d0f,training,4,1.0,1,True,False,0.09611275476660092,5,5,1.0,False,False,False,False
18419cfa,training,4,4.0,6,False,True,0.02178185036640919,8,8,1.0,False,False,False,False
18447a8d,training,4,1.0,1,True,False,0.36473330590977654,18,18,1.0,False,False,False,False
184a9768,training,4,17.0,17,False,False,0.14875258799171842,56,56,1.0,False,False,False,False
1a07d186,training,4,7.0,8,False,True,0.03734335839598998,27,26,0.9629629629629629,False,False,False,False
1a244afd,training,4,1.0,1,True,False,0.05645833333333333,18,18,1.0,False,False,False,False
1acc24af,training,4,4.5,5,True,True,0.06423611111111112,8,8,1.0,False,False,False,False
1b59e163,training,4,1.0,1,True,False,0.13425925925925924,26,26,1.0,False,False,False,False
1b60fb0c,training,4,1.0,1,False,True,0.09333333333333334,3,3,1.0,False,False,False,False
1b8318e3,training,4,11.0,15,False,True,0.09703703703703705,32,21,0.65625,False,False,False,False
1bfc4729,training,4,2.0,2,False,True,0.5,2,2,1.0,False,False,False,False
1c02dbbe,training,4,1.0,1,False,False,0.2740740740740741,5,5,1.0,False,False,False,False
1c0d0a4b,training,4,8.0,14,False,True,0.44045584045584046,13,0,0.0,False,False,False,False
1c56ad9f,training,4,1.0,1,False,False,0.10304029304029304,41,14,0.34146341463414637,False,False,False,False
1caeab9d,training,4,3.0,3,False,False,0.16,12,12,1.0,False,False,False,False
1d0a4b61,training,4,1.0,1,False,False,0.11359999999999999,11,11,1.0,False,False,False,False
1d398264,training,4,1.0,1,False,False,0.18546296296296297,58,58,1.0,False,False,False,False
1d61978c,training,4,1.0,1,True,False,0.10546875,54,54,1.0,False,False,False,False
1da012fc,training,4,4.5,5,True,False,0.1014354066985646,7,7,1.0,False,False,False,False
1e0a9b12,training,4,4.0,5,False,False,0.29537037037037034,11,8,0.7272727272727273,False,False,False,False
1e32b0e9,training,4,9.0,11,False,True,0.13494809688581313,46,46,1.0,False,False,False,False
1e5d6875,training,4,1.0,1,True,False,0.140625,6,6,1.0,False,False,False,False
