environment,representation,seed,step,mean_return,return_std,success_rate,model_parameters
cartpole,raw,100,2500,19.5,4.8218253804964775,0.0,17410
cartpole,raw,100,5000,29.7,6.783067152844648,0.0,17410
cartpole,raw,100,7500,328.6,210.14433135347716,0.6,17410
cartpole,raw,100,10000,500.0,0.0,1.0,17410
cartpole,raw,100,12500,420.4,159.20062813946433,0.8,17410
cartpole,raw,100,15000,91.2,2.4,0.0,17410
cartpole,raw,100,17500,90.3,14.346079603849967,0.0,17410
cartpole,raw,100,20000,96.1,13.758270240113761,0.0,17410
cartpole,raw,100,22500,96.3,16.062689687595913,0.0,17410
cartpole,raw,100,25000,107.4,11.101351269102334,0.0,17410
cartpole,raw,100,27500,93.1,8.466994744299774,0.0,17410
cartpole,raw,100,30000,94.5,3.2015621187164243,0.0,17410
cartpole,raw_history,100,2500,9.4,0.7999999999999999,0.0,17922
cartpole,raw_history,100,5000,25.2,22.417850030723287,0.0,17922
cartpole,raw_history,100,7500,76.4,29.722718583602003,0.0,17922
cartpole,raw_history,100,10000,168.3,29.769279467262887,0.0,17922
cartpole,raw_history,100,12500,95.6,3.32264954516723,0.0,17922
cartpole,raw_history,100,15000,91.6,2.33238075793812,0.0,17922
cartpole,raw_history,100,17500,210.8,54.614650049231294,0.0,17922
cartpole,raw_history,100,20000,153.3,32.23057554559025,0.0,17922
cartpole,raw_history,100,22500,216.1,50.18655198357424,0.0,17922
cartpole,raw_history,100,25000,220.5,49.51009997970111,0.0,17922
cartpole,raw_history,100,27500,114.9,17.067220043111885,0.0,17922
cartpole,raw_history,100,30000,98.6,5.351635264103861,0.0,17922
cartpole,featuregraph,100,2500,9.5,0.806225774829855,0.0,18434
cartpole,featuregraph,100,5000,9.5,0.806225774829855,0.0,18434
cartpole,featuregraph,100,7500,9.5,0.806225774829855,0.0,18434
cartpole,featuregraph,100,10000,9.6,0.9165151389911681,0.0,18434
cartpole,featuregraph,100,12500,9.4,0.7999999999999999,0.0,18434
cartpole,featuregraph,100,15000,13.1,2.5865034312755126,0.0,18434
cartpole,featuregraph,100,17500,100.5,39.762419443489605,0.0,18434
cartpole,featuregraph,100,20000,21.6,11.926441212700459,0.0,18434
cartpole,featuregraph,100,22500,55.4,8.811356308764276,0.0,18434
cartpole,featuregraph,100,25000,40.5,7.130918594402828,0.0,18434
cartpole,featuregraph,100,27500,55.4,8.811356308764276,0.0,18434
cartpole,featuregraph,100,30000,55.4,8.811356308764276,0.0,18434
cartpole,augmented,100,2500,9.5,0.806225774829855,0.0,18946
cartpole,augmented,100,5000,88.8,62.85825323694574,0.0,18946
cartpole,augmented,100,7500,114.4,10.011992808627062,0.0,18946
cartpole,augmented,100,10000,203.0,42.02618231531387,0.0,18946
cartpole,augmented,100,12500,232.2,120.4,0.0,18946
cartpole,augmented,100,15000,206.4,30.877823757512445,0.0,18946
cartpole,augmented,100,17500,99.1,4.867237409455183,0.0,18946
cartpole,augmented,100,20000,107.5,5.463515351859094,0.0,18946
cartpole,augmented,100,22500,162.2,17.537388631150307,0.0,18946
cartpole,augmented,100,25000,173.1,77.00967471688216,0.0,18946
cartpole,augmented,100,27500,95.6,7.889233169326408,0.0,18946
cartpole,augmented,100,30000,91.0,2.6076809620810595,0.0,18946
cartpole,raw,101,2500,14.2,5.861740355901138,0.0,17410
cartpole,raw,101,5000,137.5,41.03230434669737,0.0,17410
cartpole,raw,101,7500,139.0,42.04283529925164,0.0,17410
cartpole,raw,101,10000,121.7,44.645380500114456,0.0,17410
cartpole,raw,101,12500,114.9,26.455434224370613,0.0,17410
cartpole,raw,101,15000,127.9,5.629387178015028,0.0,17410
cartpole,raw,101,17500,193.3,101.96376807474309,0.0,17410
cartpole,raw,101,20000,296.1,169.5673612462021,0.4,17410
cartpole,raw,101,22500,500.0,0.0,1.0,17410
cartpole,raw,101,25000,500.0,0.0,1.0,17410
cartpole,raw,101,27500,351.9,107.9818966308705,0.3,17410
cartpole,raw,101,30000,310.4,29.090204536922734,0.0,17410
cartpole,raw_history,101,2500,9.5,0.9219544457292888,0.0,17922
cartpole,raw_history,101,5000,102.3,29.597466107759967,0.0,17922
cartpole,raw_history,101,7500,162.1,13.247263868437136,0.0,17922
cartpole,raw_history,101,10000,97.2,2.6758176320519302,0.0,17922
cartpole,raw_history,101,12500,107.8,2.7129319932501077,0.0,17922
cartpole,raw_history,101,15000,105.6,3.2924155266308657,0.0,17922
cartpole,raw_history,101,17500,398.7,60.991884706082004,0.1,17922
cartpole,raw_history,101,20000,104.0,9.838699100999074,0.0,17922
