environment,representation,seed,step,mean_return,return_std,success_rate,model_parameters
mountaincar,raw,100,5000,-200.0,0.0,0.0,17283
mountaincar,raw,100,10000,-200.0,0.0,0.0,17283
mountaincar,raw,100,15000,-200.0,0.0,0.0,17283
mountaincar,raw,100,20000,-200.0,0.0,0.0,17283
mountaincar,raw,100,25000,-200.0,0.0,0.0,17283
mountaincar,raw,100,30000,-200.0,0.0,0.0,17283
mountaincar,raw,100,35000,-200.0,0.0,0.0,17283
mountaincar,raw,100,40000,-200.0,0.0,0.0,17283
mountaincar,raw,100,45000,-200.0,0.0,0.0,17283
mountaincar,raw,100,50000,-200.0,0.0,0.0,17283
mountaincar,raw,100,55000,-200.0,0.0,0.0,17283
mountaincar,raw,100,60000,-200.0,0.0,0.0,17283
mountaincar,raw_history,100,5000,-200.0,0.0,0.0,17539
mountaincar,raw_history,100,10000,-200.0,0.0,0.0,17539
mountaincar,raw_history,100,15000,-200.0,0.0,0.0,17539
mountaincar,raw_history,100,20000,-200.0,0.0,0.0,17539
mountaincar,raw_history,100,25000,-200.0,0.0,0.0,17539
mountaincar,raw_history,100,30000,-200.0,0.0,0.0,17539
mountaincar,raw_history,100,35000,-200.0,0.0,0.0,17539
mountaincar,raw_history,100,40000,-200.0,0.0,0.0,17539
mountaincar,raw_history,100,45000,-200.0,0.0,0.0,17539
mountaincar,raw_history,100,50000,-200.0,0.0,0.0,17539
mountaincar,raw_history,100,55000,-200.0,0.0,0.0,17539
mountaincar,raw_history,100,60000,-200.0,0.0,0.0,17539
mountaincar,featuregraph,100,5000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,100,10000,-169.4,15.357083056361974,0.8,18563
mountaincar,featuregraph,100,15000,-185.7,17.58436805802244,0.4,18563
mountaincar,featuregraph,100,20000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,100,25000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,100,30000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,100,35000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,100,40000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,100,45000,-198.3,5.1000000000000005,0.1,18563
mountaincar,featuregraph,100,50000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,100,55000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,100,60000,-200.0,0.0,0.0,18563
mountaincar,augmented,100,5000,-200.0,0.0,0.0,18819
mountaincar,augmented,100,10000,-200.0,0.0,0.0,18819
mountaincar,augmented,100,15000,-200.0,0.0,0.0,18819
mountaincar,augmented,100,20000,-200.0,0.0,0.0,18819
mountaincar,augmented,100,25000,-200.0,0.0,0.0,18819
mountaincar,augmented,100,30000,-200.0,0.0,0.0,18819
mountaincar,augmented,100,35000,-200.0,0.0,0.0,18819
mountaincar,augmented,100,40000,-200.0,0.0,0.0,18819
mountaincar,augmented,100,45000,-200.0,0.0,0.0,18819
mountaincar,augmented,100,50000,-126.2,4.894895300208167,1.0,18819
mountaincar,augmented,100,55000,-200.0,0.0,0.0,18819
mountaincar,augmented,100,60000,-200.0,0.0,0.0,18819
mountaincar,raw,101,5000,-200.0,0.0,0.0,17283
mountaincar,raw,101,10000,-200.0,0.0,0.0,17283
mountaincar,raw,101,15000,-200.0,0.0,0.0,17283
mountaincar,raw,101,20000,-200.0,0.0,0.0,17283
mountaincar,raw,101,25000,-200.0,0.0,0.0,17283
mountaincar,raw,101,30000,-200.0,0.0,0.0,17283
mountaincar,raw,101,35000,-200.0,0.0,0.0,17283
mountaincar,raw,101,40000,-200.0,0.0,0.0,17283
mountaincar,raw,101,45000,-200.0,0.0,0.0,17283
mountaincar,raw,101,50000,-200.0,0.0,0.0,17283
mountaincar,raw,101,55000,-200.0,0.0,0.0,17283
mountaincar,raw,101,60000,-200.0,0.0,0.0,17283
mountaincar,raw_history,101,5000,-182.3,34.40944637741212,0.4,17539
mountaincar,raw_history,101,10000,-200.0,0.0,0.0,17539
mountaincar,raw_history,101,15000,-200.0,0.0,0.0,17539
mountaincar,raw_history,101,20000,-200.0,0.0,0.0,17539
mountaincar,raw_history,101,25000,-200.0,0.0,0.0,17539
mountaincar,raw_history,101,30000,-200.0,0.0,0.0,17539
mountaincar,raw_history,101,35000,-200.0,0.0,0.0,17539
mountaincar,raw_history,101,40000,-200.0,0.0,0.0,17539
mountaincar,raw_history,101,45000,-200.0,0.0,0.0,17539
mountaincar,raw_history,101,50000,-200.0,0.0,0.0,17539
mountaincar,raw_history,101,55000,-200.0,0.0,0.0,17539
mountaincar,raw_history,101,60000,-200.0,0.0,0.0,17539
mountaincar,featuregraph,101,5000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,101,10000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,101,15000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,101,20000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,101,25000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,101,30000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,101,35000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,101,40000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,101,45000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,101,50000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,101,55000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,101,60000,-200.0,0.0,0.0,18563
mountaincar,augmented,101,5000,-200.0,0.0,0.0,18819
mountaincar,augmented,101,10000,-200.0,0.0,0.0,18819
mountaincar,augmented,101,15000,-200.0,0.0,0.0,18819
mountaincar,augmented,101,20000,-200.0,0.0,0.0,18819
mountaincar,augmented,101,25000,-200.0,0.0,0.0,18819
mountaincar,augmented,101,30000,-200.0,0.0,0.0,18819
mountaincar,augmented,101,35000,-200.0,0.0,0.0,18819
mountaincar,augmented,101,40000,-200.0,0.0,0.0,18819
mountaincar,augmented,101,45000,-200.0,0.0,0.0,18819
mountaincar,augmented,101,50000,-200.0,0.0,0.0,18819
mountaincar,augmented,101,55000,-200.0,0.0,0.0,18819
mountaincar,augmented,101,60000,-200.0,0.0,0.0,18819
mountaincar,raw,102,5000,-200.0,0.0,0.0,17283
mountaincar,raw,102,10000,-200.0,0.0,0.0,17283
mountaincar,raw,102,15000,-200.0,0.0,0.0,17283
mountaincar,raw,102,20000,-200.0,0.0,0.0,17283
mountaincar,raw,102,25000,-200.0,0.0,0.0,17283
mountaincar,raw,102,30000,-200.0,0.0,0.0,17283
mountaincar,raw,102,35000,-200.0,0.0,0.0,17283
mountaincar,raw,102,40000,-200.0,0.0,0.0,17283
mountaincar,raw,102,45000,-200.0,0.0,0.0,17283
mountaincar,raw,102,50000,-200.0,0.0,0.0,17283
mountaincar,raw,102,55000,-200.0,0.0,0.0,17283
mountaincar,raw,102,60000,-200.0,0.0,0.0,17283
mountaincar,raw_history,102,5000,-200.0,0.0,0.0,17539
mountaincar,raw_history,102,10000,-175.4,25.861941149109438,0.5,17539
mountaincar,raw_history,102,15000,-200.0,0.0,0.0,17539
mountaincar,raw_history,102,20000,-200.0,0.0,0.0,17539
mountaincar,raw_history,102,25000,-200.0,0.0,0.0,17539
mountaincar,raw_history,102,30000,-200.0,0.0,0.0,17539
mountaincar,raw_history,102,35000,-200.0,0.0,0.0,17539
mountaincar,raw_history,102,40000,-200.0,0.0,0.0,17539
mountaincar,raw_history,102,45000,-200.0,0.0,0.0,17539
mountaincar,raw_history,102,50000,-200.0,0.0,0.0,17539
mountaincar,raw_history,102,55000,-200.0,0.0,0.0,17539
mountaincar,raw_history,102,60000,-200.0,0.0,0.0,17539
mountaincar,featuregraph,102,5000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,102,10000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,102,15000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,102,20000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,102,25000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,102,30000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,102,35000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,102,40000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,102,45000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,102,50000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,102,55000,-200.0,0.0,0.0,18563
mountaincar,featuregraph,102,60000,-200.0,0.0,0.0,18563
mountaincar,augmented,102,5000,-200.0,0.0,0.0,18819
mountaincar,augmented,102,10000,-200.0,0.0,0.0,18819
mountaincar,augmented,102,15000,-200.0,0.0,0.0,18819
mountaincar,augmented,102,20000,-200.0,0.0,0.0,18819
mountaincar,augmented,102,25000,-200.0,0.0,0.0,18819
mountaincar,augmented,102,30000,-200.0,0.0,0.0,18819
mountaincar,augmented,102,35000,-200.0,0.0,0.0,18819
mountaincar,augmented,102,40000,-200.0,0.0,0.0,18819
mountaincar,augmented,102,45000,-200.0,0.0,0.0,18819
mountaincar,augmented,102,50000,-200.0,0.0,0.0,18819
mountaincar,augmented,102,55000,-200.0,0.0,0.0,18819
mountaincar,augmented,102,60000,-200.0,0.0,0.0,18819
