environment,representation,seed,step,mean_return,return_std,success_rate,model_parameters
mountaincar,raw,100,10000,-200.0,0.0,0.0,17283
mountaincar,raw,100,20000,-200.0,0.0,0.0,17283
mountaincar,raw,100,30000,-200.0,0.0,0.0,17283
mountaincar,raw,100,40000,-200.0,0.0,0.0,17283
mountaincar,raw,100,50000,-200.0,0.0,0.0,17283
mountaincar,raw,100,60000,-199.65,1.5256146302392357,0.05,17283
mountaincar,raw,100,70000,-200.0,0.0,0.0,17283
mountaincar,raw,100,80000,-200.0,0.0,0.0,17283
mountaincar,raw,100,90000,-200.0,0.0,0.0,17283
mountaincar,raw,100,100000,-200.0,0.0,0.0,17283
mountaincar,raw,100,110000,-200.0,0.0,0.0,17283
mountaincar,raw,100,120000,-200.0,0.0,0.0,17283
mountaincar,raw,100,130000,-140.55,37.59318422267526,1.0,17283
mountaincar,raw,100,140000,-144.35,42.91418763066592,0.9,17283
mountaincar,raw,100,150000,-109.15,9.540833296940052,1.0,17283
mountaincar,raw,100,160000,-133.05,31.052334855852628,1.0,17283
mountaincar,raw,100,170000,-107.8,15.344705927452633,1.0,17283
mountaincar,raw,100,180000,-109.35,12.74078098077194,1.0,17283
mountaincar,raw,100,190000,-108.05,10.772534520715169,1.0,17283
mountaincar,raw,100,200000,-105.3,3.9,1.0,17283
mountaincar,raw,101,10000,-200.0,0.0,0.0,17283
mountaincar,raw,101,20000,-200.0,0.0,0.0,17283
mountaincar,raw,101,30000,-200.0,0.0,0.0,17283
mountaincar,raw,101,40000,-200.0,0.0,0.0,17283
mountaincar,raw,101,50000,-200.0,0.0,0.0,17283
mountaincar,raw,101,60000,-200.0,0.0,0.0,17283
mountaincar,raw,101,70000,-200.0,0.0,0.0,17283
mountaincar,raw,101,80000,-200.0,0.0,0.0,17283
mountaincar,raw,101,90000,-200.0,0.0,0.0,17283
mountaincar,raw,101,100000,-200.0,0.0,0.0,17283
mountaincar,raw,101,110000,-200.0,0.0,0.0,17283
mountaincar,raw,101,120000,-200.0,0.0,0.0,17283
mountaincar,raw,101,130000,-200.0,0.0,0.0,17283
mountaincar,raw,101,140000,-200.0,0.0,0.0,17283
mountaincar,raw,101,150000,-200.0,0.0,0.0,17283
mountaincar,raw,101,160000,-200.0,0.0,0.0,17283
mountaincar,raw,101,170000,-200.0,0.0,0.0,17283
mountaincar,raw,101,180000,-146.85,24.894326662916594,1.0,17283
mountaincar,raw,101,190000,-184.4,37.13677422717272,0.15,17283
mountaincar,raw,101,200000,-131.85,27.308011644936727,1.0,17283
mountaincar,raw,102,10000,-200.0,0.0,0.0,17283
mountaincar,raw,102,20000,-200.0,0.0,0.0,17283
mountaincar,raw,102,30000,-200.0,0.0,0.0,17283
mountaincar,raw,102,40000,-200.0,0.0,0.0,17283
mountaincar,raw,102,50000,-200.0,0.0,0.0,17283
mountaincar,raw,102,60000,-200.0,0.0,0.0,17283
mountaincar,raw,102,70000,-200.0,0.0,0.0,17283
mountaincar,raw,102,80000,-200.0,0.0,0.0,17283
mountaincar,raw,102,90000,-200.0,0.0,0.0,17283
mountaincar,raw,102,100000,-200.0,0.0,0.0,17283
mountaincar,raw,102,110000,-198.6,2.537715508089904,0.35,17283
mountaincar,raw,102,120000,-200.0,0.0,0.0,17283
mountaincar,raw,102,130000,-200.0,0.0,0.0,17283
mountaincar,raw,102,140000,-200.0,0.0,0.0,17283
mountaincar,raw,102,150000,-200.0,0.0,0.0,17283
mountaincar,raw,102,160000,-142.5,43.874252130378245,1.0,17283
mountaincar,raw,102,170000,-200.0,0.0,0.0,17283
mountaincar,raw,102,180000,-144.75,47.25343902828661,0.7,17283
mountaincar,raw,102,190000,-125.4,31.96936033141733,1.0,17283
mountaincar,raw,102,200000,-122.35,27.998705327211113,1.0,17283
